,Component ID,Component Type,Deployment Area,Longitude,Latitude,MGRS,Revised_Latitude,Revised_Longitude
62,,,,148.0,96.5,56KKV480965,-22.61973478204336,150.5483658543705
63,,,,158.0,84.0,56KKV580840,-22.734018444123425,150.64366037212875
64,,,,,,,,
65,,,,,,,,
66,red (mailto to golan) ,,,144.0,86.0,56KKV440860,-22.713900632299787,150.50776691104204
67,,,,150.0,83.0,56KKV500830,-22.74187678355001,150.56565819682186
68,,,,156.0,80.5,56KKV560805,-22.765320933129136,150.62365278506607
69,,,,,,,,
70,,,,,,,,
71,mailto to winsor ,,,,,,,
72,way 1 ,,,148.5,81.0,56KKV485810,-22.759704495478502,150.55074046595325
73,,,,145.0,72.5,56KKV450725,-22.835891890702023,150.51528899574197
74,,,,143.0,70.0,56KKV430700,-22.858149098370017,150.49540193722646
75,,,,,,,,
76,,,,,,,,
77,mailto to winsor ,,,,,,,
78,way 2 ,,,148.5,81.0,56KKV485810,-22.759704495478502,150.55074046595325
79,,,,151.0,90.0,56KKV510900,-22.67884525327176,150.57650184147403
80,,,,144.0,72.5,56KKV440725,-22.83573960272537,150.50555213078644
81,,,,,,,,
82,,,,,,,,
83,golan left to right (triangle route) ,,,150.0,79.5,56KKV500795,-22.773466132415777,150.56509797887293
84,,,,156.0,80.0,56KKV560800,-22.769833885291707,150.62357462933286
85,,,,155.0,76.0,56KKV550760,-22.805791875745296,150.6132131526904
86,,,,,,,,
87,,,,,,,,
88,yaohan to metro red ,,,124.0,75.0,56KKV240750,-22.810009936568424,150.31127605644156
89,,,,124.5,74.25,56KKV245742,-22.817310966304934,150.31600127405005
90,,,,125.5,74.5,56KKV255745,-22.814767585354115,150.32578826029396
91,,,,,,,,
92,,,,,,,,
93,cabin to serpentine ,,,106.5,77.0,56KKV065770,-22.788999365664612,150.14133056542352
94,,,,108.0,77.0,56KKV080770,-22.789260463894696,150.15592656599964
95,,,,109.0,77.0,56KKV090770,-22.789433789011166,150.16565735164124
96,,,,110.0,77.0,56KKV100770,-22.789606521804036,150.1753882317788
97,,,,111.1,77.0,56KKV110770,-22.7897786622499,150.18511920608935
98,,,,111.25,80.5,56KKV112805,-22.758233329585533,150.18771306032278
99,,,,112.0,80.5,56KKV120805,-22.75837030968486,150.1954961357056
100,,,,,,,,
101,,,,,,,,
102,triangle 3 (left line) ,,,155.5,76.0,56KKV555760,-22.80586471286773,150.6180809014936
103,,,,152.5,78.0,56KKV525780,-22.787374178369447,150.58919232445442
104,,,,150.0,79.0,56KKV500790,-22.77797888527423,150.56501786658043
105,,,,,,,,
106,,,,,,,,
107,new palmbeach,,,131.0,91.0,56KKV310910,-22.666757243927435,150.38216520317903
