Component ID,Component Type,Deployment Area,Longitude,Latitude,Point1,Point2,Distance (km),Road Geometric,,,,,,,DISTANCE_MULTIPLIER,1,,,
CAMPHOR-OXFORD,Path,,,,CAMPHOR,OXFORD,4.74,[],112,124,110.5,128.5,,,,,,,
DORSET-OXFORD,Path,,,,DORSET,OXFORD,24.08,[],128.5,112.5,110.5,128.5,,,,,,,
OXFORD-LILY,Path,,,,OXFORD,LILY,33.35,[],110.5,128.5,132,103,,,,,,,
DALLAS-DAISY,Path,,,,DALLAS,DAISY,9.50,[],101.5,103,101.5,93.5,,,,,,,
NAPOLEAN-OTTAWA,Path,,,,NAPOLEAN,OTTAWA,13.04,[],108.5,107.5,107.5,94.5,,,,,,,
NAPOLEAN-LESTER,Path,,,,NAPOLEAN,LESTER,9.92,[],108.5,107.5,116,101,,,,,,,
DAISY-OTTAWA,Path,,,,DAISY,OTTAWA,6.08,[],101.5,93.5,107.5,94.5,,,,,,,
OTTAWA-LESTER,Path,,,,OTTAWA,LESTER,10.70,[],107.5,94.5,116,101,,,,,,,
LESTER-LILY,Path,,,,LESTER,LILY,16.12,[],116,101,132,103,,,,,,,
DAISY-LANCER,Path,,,,DAISY,LANCER,9.30,[],101.5,93.5,107,86,,,,,,,
OTTAWA-PALADIN,Path,,,,OTTAWA,PALADIN,7.91,[],107.5,94.5,112,88,,,,,,,
LESTER-WINDY,Path,,,,LESTER,WINDY,7.52,[],116,101,116.5,93.5,,,,,,,
LANCER-PALADIN,Path,,,,LANCER,PALADIN,5.39,[],107,86,112,88,,,,,,,
PALADIN-WINDY,Path,,,,PALADIN,WINDY,7.11,[],112,88,116.5,93.5,,,,,,,
LANCER-PELICAN,Path,,,,LANCER,PELICAN,6.00,[],107,86,107,80,,,,,,,
PALADIN-SERPENTINE,Path,,,,PALADIN,SERPENTINE,6.67,[],112,88,113.5,81.5,,,,,,,
WINDY-CARTIER,Path,,,,WINDY,CARTIER,8.08,[],116.5,93.5,119.5,86,,,,,,,
PELICAN-SERPENTINE,Path,,,,PELICAN,SERPENTINE,6.67,[],107,80,113.5,81.5,,,,,,,
SERPENTINE-CARTIER,Path,,,,SERPENTINE,CARTIER,7.50,[],113.5,81.5,119.5,86,,,,,,,
PELICAN-CABIN,Path,,,,PELICAN,CABIN,4.61,[],107,80,108,75.5,,,,,,,
SERPENTINE-MELODY,Path,,,,SERPENTINE,MELODY,7.57,[],113.5,81.5,121,80.5,,,,,,,
CARTIER-MELODY,Path,,,,CARTIER,MELODY,5.70,[],119.5,86,121,80.5,,,,,,,
CABIN-MELODY,Path,,,,CABIN,MELODY,13.93,[],108,75.5,121,80.5,,,,,,,
CABIN-OSCAR,Path,,,,CABIN,OSCAR,2.50,[],108,75.5,106.5,73.5,,,,,,,
OSCAR-CAESAR,Path,,,,OSCAR,CAESAR,6.00,[],106.5,73.5,112.5,73.5,,,,,,,
CABIN-CAESAR,Path,,,,CABIN,CAESAR,4.92,[],108,75.5,112.5,73.5,,,,,,,
OSCAR-ABERDEEN,Path,,,,OSCAR,ABERDEEN,9.39,[],106.5,73.5,102.5,65,,,,,,,
OSCAR-HONGKONG,Path,,,,OSCAR,HONGKONG,10.51,[],106.5,73.5,106,63,,,,,,,
OSCAR-NIMROD,Path,,,,OSCAR,NIMROD,13.24,[],106.5,73.5,109,60.5,,,,,,,
