,,,,,Longitude_1,Latitude_1,Longitude_2,Latitude_2
N57-N56,Path,Beginner,N57,N56,131.59,103.31,131.12,104.19
C30-C31,Path,Beginner,C30,C31,136.94,88.88,137.47,88.77
C30-C29,Path,Beginner,C30,C29,136.94,88.88,137.05,89.33
C29-C28,Path,Beginner,C29,C28,137.05,89.33,137.36,90.38
C32-E85,Path,Beginner,C32,E85,138.21,88.46,139.04,88.37
E85-E84,Path,Beginner,E85,E84,139.04,88.37,139.6,88.29
E84-E83,Path,Beginner,E84,E83,139.6,88.29,140.32,88.08
E83-E82,Path,Beginner,E83,E82,140.32,88.08,140.92,87.91
E82-E81,Path,Beginner,E82,E81,140.92,87.91,141.36,87.7
E81-E80,Path,Beginner,E81,E80,141.36,87.7,141.8,87.5
E80-E79,Path,Beginner,E80,E79,141.8,87.5,142.16,87.2
E79-E78,Path,Beginner,E79,E78,142.16,87.2,142.56,86.91
E78-E77,Path,Beginner,E78,E77,142.56,86.91,143.36,86.83
E76-E75,Path,Beginner,E76,E75,143.93,85.85,144.04,85.5
E75-E74,Path,Beginner,E75,E74,144.04,85.5,144.56,85.12
E74-E73,Path,Beginner,E74,E73,144.56,85.12,144.96,84.54
E73-E72,Path,Beginner,E73,E72,144.96,84.54,145.37,84.12
E72-E71,Path,Beginner,E72,E71,145.37,84.12,145.92,83.66
E71-E70,Path,Beginner,E71,E70,145.92,83.66,146.16,82.75
E70-E69,Path,Beginner,E70,E69,146.16,82.75,146.52,82.37
E69-E68,Path,Beginner,E69,E68,146.52,82.37,147.44,81.45
E68-E67,Path,Beginner,E68,E67,147.44,81.45,148.4,80.91
E67-E66,Path,Beginner,E67,E66,148.4,80.91,148.04,80.41
E62-E61,Path,Beginner,E62,E61,145.84,74.26,145.4,73.43
E61-E59,Path,Beginner,E61,E59,145.4,73.43,144.88,72.56
E59-E58,Path,Beginner,E59,E58,144.88,72.56,144.45,72.26
E58-E57,Path,Beginner,E58,E57,144.45,72.26,144.44,71.56
E59-E60,Path,Beginner,E59,E60,144.88,72.56,145.28,72.56
E60-E56,Path,Beginner,E60,E56,145.28,72.56,145.8,73.13
E56-E55,Path,Beginner,E56,E55,145.8,73.13,146.24,73.65
E55-E54,Path,Beginner,E55,E54,146.24,73.65,147.04,74.43
E54-E53,Path,Beginner,E54,E53,147.04,74.43,146.92,75.17
E53-E52,Path,Beginner,E53,E52,146.92,75.17,147.04,76.08
E49-E48,Path,Beginner,E49,E48,149.56,78.78,150.2,79
E48-E47,Path,Beginner,E48,E47,150.2,79,151.08,78.65
E48-E103,Path,Beginner,E48,E103,150.2,79,150.68,79.69
E103-E102,Path,Beginner,E103,E102,150.68,79.69,151.6,79.82
E102-E101,Path,Beginner,E102,E101,151.6,79.82,152.4,80.04
E101-E100,Path,Beginner,E101,E100,152.4,80.04,153.2,80.39
E100-E99,Path,Beginner,E100,E99,153.2,80.39,153.84,80.6
E99-E98,Path,Beginner,E99,E98,153.84,80.6,154.52,80.78
E98-E36,Path,Beginner,E98,E36,154.52,80.78,155.48,80.65
E36-E35,Path,Beginner,E36,E35,155.48,80.65,155.44,81.21
E36-E37,Path,Beginner,E36,E37,155.48,80.65,155.92,80.08
E32-E14,Path,Beginner,E32,E14,156.48,83.62,157.22,84.04
E14-E31,Path,Beginner,E14,E31,157.22,84.04,158.6,84.04
E31-E30,Path,Beginner,E31,E30,158.6,84.04,159.32,84.08
NATO-WILSON,Path,Hard,C26,E14,140.4,94.78,157.22,84.04
S74-S75,Path,Hard,S74,S75,123.08,75.7,126,74.5
E76-E109,Path,Hard,E76,E109,143.93,85.85,144.44,85.82
E109-E86,Path,Hard,E109,E86,144.44,85.82,144.96,85.41
E99-E96,Path,Hard,E99,E96,153.84,80.6,153.56,80.82
MALITO-GOLAN,Path,Intermediate,E86,E96,144.96,85.41,153.56,80.82
C25-C26,Path,Intermediate,C25,C26,138.66,93.71,140.4,94.78
