Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,,
Serpentine,Deployment Area,Serpentine,,113.81,81.57,,,,,,,,
C66,Rendezvous Point,Serpentine,,113.07,81.52,,,,,,,,
C88,Rendezvous Point,Serpentine,,113.34,81.5,,,,,,,,
C87,Deployment Ground,Serpentine,,113.55,81.64,,,,,,,,
Melody,Deployment Area,Melody,,121.12,80.2,,,,,,,,
C62,Rendezvous Point,Melody,,121.23,80.62,,,,,,,,
C61,Deployment Ground,Melody,,121.7,80.06,,,,,,,,
C92,Deployment Ground,Melody,,122.25,79.86,,,,,,,,
C91,Rendezvous Point,Melody,,122.81,79.93,,,,,,,,
C60,Deployment Ground,Melody,,121.76,79.53,,,,,,,,
C59,Rendezvous Point,Melody,,121.64,79.06,,,,,,,,
Spike,Deployment Area,Spike,TRUE,128.75,79.83,,,,,,,,
C55,Rendezvous Point,Spike,,126.05,80.5,,,,,,,,
C54,Deployment Ground,Spike,,127.15,80.27,,,,,,,,
C53,Deployment Ground,Spike,,127.42,79.88,,,,,,,,
C52,Deployment Ground,Spike,,127.84,79.55,,,,,,,,
C51,Deployment Ground,Spike,,128.42,79.52,,,,,,,,
S1,Deployment Ground,Spike,,128.52,79.2,,,,,,,,
S2,Deployment Ground,Spike,,128.42,78.52,,,,,,,,
S3,Deployment Ground,Spike,,128.71,77.78,,,,,,,,
S4,Rendezvous Point,Spike,,128.76,76.89,,,,,,,,
C50,Deployment Ground,Spike,,128.42,80.47,,,,,,,,
C49,Deployment Ground,Spike,,129.19,81.2,,,,,,,,
C48,Rendezvous Point,Spike,,129.8,81.78,,,,,,,,
Malito,Deployment Area,Malito,,146.93,82.66,,,,,,,,
E76,Rendezvous Point,Malito,,143.93,85.85,,,,,,,,
E109,Deployment Ground,Malito,,144.44,85.82,,,,,,,,
E86,Rendezvous Point,Malito,,144.96,85.41,,,,,,,,
E75,Deployment Ground,Malito,,144.04,85.5,,,,,,,,
E74,Deployment Ground,Malito,,144.56,85.12,,,,,,,,
E73,Deployment Ground,Malito,,144.96,84.54,,,,,,,,
E72,Deployment Ground,Malito,,145.37,84.12,,,,,,,,
E71,Deployment Ground,Malito,,145.92,83.66,,,,,,,,
E70,Deployment Ground,Malito,,146.16,82.75,,,,,,,,
E69,Deployment Ground,Malito,,146.52,82.37,,,,,,,,
E68,Deployment Ground,Malito,,147.44,81.45,,,,,,,,
E67,Rendezvous Point,Malito,,148.4,80.91,,,,,,,,
E66,Rendezvous Point,Malito,,148.04,80.41,,,,,,,,
Wilson,Deployment Area,Wilson,,158.56,83.25,,,,,,,,
E30,Deployment Ground,Wilson,,159.32,84.08,,,,,,,,
E31,Deployment Ground,Wilson,,158.6,84.04,,,,,,,,
E14,Rendezvous Point,Wilson,,157.22,84.04,,,,,,,,
E32,Rendezvous Point,Wilson,,156.48,83.62,,,,,,,,
Cabin,Deployment Area,Cabin,,108.21,75.66,,,,,,,,
E999,Deployment Ground,Cabin,,106.5,76.89,,,,,,,,
Oscar,Deployment Area,Oscar,,106.37,73.37,,,,,,,,
Caesar,Deployment Area,Caesar,,112.37,73.42,,,,,,,,
Yaohan,Deployment Area,Yaohan,,123.93,75.46,,,,,,,,
S70,Rendezvous Point,Yaohan,,122.12,78.41,,,,,,,,
S71,Deployment Ground,Yaohan,,122.24,78,,,,,,,,
S72,Deployment Ground,Yaohan,,122.4,77.37,,,,,,,,
S73,Deployment Ground,Yaohan,,123.08,76.91,,,,,,,,
S74,Deployment Ground,Yaohan,,123.08,75.7,,,,,,,,
S75,Deployment Ground,Yaohan,,126,74.5,,,,,,,,
S76,Rendezvous Point,Yaohan,,126.32,74.08,,,,,,,,
Metro,Deployment Area,Metro,,128.52,72.58,,,,,,,,
Winsor,Deployment Area,Winsor,,146.2,73.87,,,,,,,,
E57,Rendezvous Point,Winsor,,144.44,71.56,,,,,,,,
E58,Deployment Ground,Winsor,,144.45,72.26,,,,,,,,
E59,Deployment Ground,Winsor,,144.88,72.56,,,,,,,,
E60,Deployment Ground,Winsor,,145.28,72.56,,,,,,,,
E61,Deployment Ground,Winsor,,145.4,73.43,,,,,,,,
E62,Rendezvous Point,Winsor,,145.84,74.26,,,,,,,,
E56,Deployment Ground,Winsor,,145.8,73.13,,,,,,,,
E55,Deployment Ground,Winsor,,146.24,73.65,,,,,,,,
E54,Deployment Ground,Winsor,,147.04,74.43,,,,,,,,
E53,Deployment Ground,Winsor,,146.92,75.17,,,,,,,,
E52,Rendezvous Point,Winsor,,147.04,76.08,,,,,,,,
Tyro,Deployment Area,Tyro,,148.12,78.34,,,,,,,,
E64,Deployment Ground,Tyro,,148.08,78.13,,,,,,,,
E50,Deployment Ground,Tyro,,148.76,77.6,,,,,,,,
Golan,Deployment Area,Golan,,152.92,80.17,,,,,,,,
E49,Rendezvous Point,Golan,,149.56,78.78,,,,,,,,
E48,Deployment Ground,Golan,,150.2,79,,,,,,,,
E47,Rendezvous Point,Golan,,151.08,78.65,,,,,,,,
E103,Rendezvous Point,Golan,,150.68,79.69,,,,,,,,
E102,Deployment Ground,Golan,,151.6,79.82,,,,,,,,
E101,Deployment Ground,Golan,,152.4,80.04,,,,,,,,
E100,Deployment Ground,Golan,,153.2,80.39,,,,,,,,
E99,Deployment Ground,Golan,,153.84,80.6,,,,,,,,
E96,Rendezvous Point,Golan,,153.56,80.82,,,,,,,,
E98,Deployment Ground,Golan,,154.52,80.78,,,,,,,,
E36,Deployment Ground,Golan,,155.48,80.65,,,,,,,,
E35,Rendezvous Point,Golan,,155.44,81.21,,,,,,,,
E37,Rendezvous Point,Golan,,155.92,80.08,,,,,,,,
Regata,Deployment Area,Regata,,124.2,70.78,,,,,,,,
S50,Deployment Ground,Regata,,123.18,71.42,,,,,,,,
Pembroke,Deployment Area,Pembroke,,134.31,70.58,,,,,,,,
Aberdeen,Deployment Area,Aberdeen,,102.4,66.21,,,,,,,,
Hong Kong,Deployment Area,Hong Kong,,106.14,63.21,,,,,,,,
Nimrod,Deployment Area,Nimrod,,109.06,60.71,,,,,,,,
Petticot,Deployment Area,Petticot,,122.5,66.35,,,,,,,,
Betty,Deployment Area,Betty,,136.86,63.92,,,,,,,,
Pegasus,Deployment Area,Pegasus,,145.06,66.85,,,,,,,,
Hitchcock,Deployment Area,Hitchcock,,161.42,67,,,,,,,,
Lawrence,Deployment Area,Lawrence,,162.42,62.62,,,,,,,,
E1,,,,141.7,96.25,,,,,,,,
E2,,,,143.6,95.95,,,,,,,,
E3,,,,145.8,95.7,,,,,,,,
E4,,,,147.85,96.75,,,,,,,,
E5,,,,148.45,96.05,,,,,,,,
E6,,,,148.85,95.15,,,,,,,,
E7,,,,149.95,95.2,,,,,,,,
E8,,,,151.9,93.5,,,,,,,,
E9,,,,152.7,91.6,,,,,,,,
E10,,,,153.05,90.1,,,,,,,,
